"codice","data","specie","regione","provincia","comune","sesso","lunghezza (cm)","tag_rilievo","tag_rilascio","condizioni","interazione","segnalatore","rilevatore","struttura","latitudine","longitudine"
"CSC130928TCc1","28/09/2013","Caretta caretta","Abruzzo","Teramo","","ND","7","","","Morto","ND","Privato cittadino","Adriano De Ascentiis","Centro Studi Cetacei","42.67959","14.01584"
"CSC130926TCc9","26/09/2013","Caretta caretta","Abruzzo","Teramo","","ND","","","","Morto","ND","Centro Studi Cetacei","Vincenzo Olivieri","Centro Studi Cetacei","42.67257","14.0214"
"CSC130926TCc3","26/09/2013","Caretta caretta","Abruzzo","Teramo","","ND","7","","","Vivo","ND","Centro Studi Cetacei","Massimiliano Pennelli","Centro Studi Cetacei","42.67257","14.0214"
"CSC130926TCc6","26/09/2013","Caretta caretta","Abruzzo","Teramo","","ND","7","","","Vivo","ND","Centro Studi Cetacei","Sergio Guccione","Centro Studi Cetacei","42.67257","14.0214"
"CSC130926TCc2","26/09/2013","Caretta caretta","Abruzzo","Teramo","","ND","7","","","Vivo","ND","Centro Studi Cetacei","Massimiliano Pennelli","Centro Studi Cetacei","42.67257","14.0214"
"CSC130926TCc5","26/09/2013","Caretta caretta","Abruzzo","Teramo","","ND","7","","","Vivo","ND","Centro Studi Cetacei","Vincenzo Olivieri","Centro Studi Cetacei","42.67257","14.0214"
"CSC130926TCc1","26/09/2013","Caretta caretta","Abruzzo","Teramo","","ND","7","","","Vivo","ND","Centro Studi Cetacei","Vincenzo Olivieri","Centro Studi Cetacei","42.67257","14.0214"
"CSC130926TCc8","26/09/2013","Caretta caretta","Abruzzo","Teramo","","ND","7","","","Vivo","ND","Centro Studi Cetacei","Adriano De Ascentiis","Centro Studi Cetacei","42.67257","14.0214"
"CSC130926TCc7","26/09/2013","Caretta caretta","Abruzzo","Teramo","","ND","7","","","Vivo","ND","Centro Studi Cetacei","Adriano De Ascentiis","Centro Studi Cetacei","42.67257","14.0214"
"CSC130926TCc4","26/09/2013","Caretta caretta","Abruzzo","Teramo","","ND","7","","","Vivo","ND","Centro Studi Cetacei","Sergio Guccione","Centro Studi Cetacei","42.67257","14.0214"
"CSC130919TCc2","19/09/2013","Caretta caretta","Abruzzo","Teramo","","ND","","INAPPLICABILE","","Vivo","ND","Centro Studi Cetacei","Adriano De Ascentiis","Centro Studi Cetacei","42.67257","14.0214"
"CSC130919TCc1","19/09/2013","Caretta caretta","Abruzzo","Teramo","","ND","","","","Vivo","ND","Centro Studi Cetacei","Adriano De Ascentiis","Centro Studi Cetacei","42.67257","14.0214"
"CSC130918TCc2","18/09/2013","Caretta caretta","Abruzzo","Teramo","","ND","","INAPPLICABILE","","Vivo","ND","Centro Studi Cetacei","Massimiliano Pennelli","Centro Studi Cetacei","42.67257","14.0214"
"CSC130918TCc1","18/09/2013","Caretta caretta","Abruzzo","Teramo","","ND","","INAPPLICABILE","","Vivo","ND","Centro Studi Cetacei","Sergio Guccione","Centro Studi Cetacei","42.67257","14.0214"
"CSC130916TCc1","16/09/2013","Caretta caretta","Abruzzo","Teramo","","ND","","INAPPLICABILE","","Vivo","ND","Centro Studi Cetacei","Massimiliano Pennelli","Centro Studi Cetacei","42.67257","14.0214"
"CSC130916TCc2","16/09/2013","Caretta caretta","Abruzzo","Teramo","","ND","","INAPPLICABILE","","Vivo","ND","Centro Studi Cetacei","Vincenzo Olivieri","Centro Studi Cetacei","42.67257","14.0214"
"CSC130915TCc4","15/09/2013","Caretta caretta","Abruzzo","Teramo","","ND","","","","Vivo","ND","Privato cittadino","Non disponibile","Non disponibile","42.6727","14.02197"
"CSC130915TCc8","15/09/2013","Caretta caretta","Abruzzo","Teramo","","ND","","","","Vivo","ND","Privato cittadino","Non disponibile","Non disponibile","42.6725","14.02189"
"CSC130915TCc7","15/09/2013","Caretta caretta","Abruzzo","Teramo","","ND","","","","Vivo","ND","Privato cittadino","Non disponibile","Non disponibile","42.67349","14.02171"
"CSC130915TCc6","15/09/2013","Caretta caretta","Abruzzo","Teramo","","ND","","","","Vivo","ND","Privato cittadino","Non disponibile","Non disponibile","42.67321","14.02178"
"CSC130915TCc5","15/09/2013","Caretta caretta","Abruzzo","Teramo","","ND","","","","Vivo","ND","Privato cittadino","Non disponibile","Non disponibile","42.67247","14.02136"
