codice,data_rilievo,regione,provincia,comune,specie,cod_specie,sesso,lunghezza_cm,tipo_lunghezza,condizioni,tag,tag_rilascio,interazione,segnalato_da,rilevatore,struttura_rilevatore,lng,lat
CSC120818TCc1,2012-08-18,Calabria,Reggio di Calabria,Bovalino,Caretta caretta,1,ND,27.0,TOT,Vivo,,,ND,ASP,Stefania Giglio,Centro Studi Cetacei,16.17815,38.14609
CSC120804TCc1,2012-08-04,Calabria,Catanzaro,,Caretta caretta,1,F,30.0,TOT,Vivo,,,ND,Guardia Costiera,Elena Madeo,Centro di recupero,16.5611,38.61756
CSC120801TCc1,2012-08-01,Calabria,Reggio di Calabria,,Caretta caretta,1,ND,35.0,TOT,Morto,,,ND,Guardia Costiera,Stefania Giglio,Centro di recupero,16.57375,38.43189
CSC120713TCc2,2012-07-13,Calabria,Reggio di Calabria,Ardore,Caretta caretta,1,ND,32.0,TOT,Vivo,,,ND,ASP,Stefania Giglio,Centro Studi Cetacei,16.21188,38.17831
CSC120713TCc1,2012-07-13,Calabria,Reggio di Calabria,Ardore,Caretta caretta,1,ND,32.0,TOT,Vivo,,,ND,ASP,Elena Madeo,Centro Studi Cetacei,16.21187,38.17831
CSC120708TCc3,2012-07-08,Calabria,Reggio di Calabria,Brancaleone,Caretta caretta,1,ND,38.0,TOT,Vivo,,,ND,ASP,Stefania Giglio,Centro Studi Cetacei,16.10586,37.96662
CSC120708TCc5,2012-07-08,Calabria,Reggio di Calabria,Brancaleone,Caretta caretta,1,ND,,,Vivo,,,ND,ASP,Stefania Giglio,Centro Studi Cetacei,16.10589,37.96664
CSC120708TCc2,2012-07-08,Calabria,Reggio di Calabria,Brancaleone,Caretta caretta,1,ND,42.0,TOT,Vivo,,,ND,ASP,Elena Madeo,Centro Studi Cetacei,16.10615,37.96686
CSC120708TCc1,2012-07-08,Calabria,Reggio di Calabria,Brancaleone,Caretta caretta,1,ND,27.0,TOT,Vivo,,,ND,ASP,Stefania Giglio,Centro Studi Cetacei,16.10579,37.96658
CSC120708TCc4,2012-07-08,Calabria,Reggio di Calabria,Brancaleone,Caretta caretta,1,ND,30.0,TOT,Vivo,,,ND,ASP,Elena Madeo,Centro Studi Cetacei,16.10586,37.96662
