codice,data_rilievo,regione,provincia,comune,specie,cod_specie,sesso,lunghezza_cm,tipo_lunghezza,condizioni,tag,tag_rilascio,interazione,segnalato_da,rilevatore,struttura_rilevatore,lng,lat
CSC130709CTt1,2013-07-09,Abruzzo,Pescara,,Tursiops truncatus,9,F,287.0,TOT,Morto,,,No,Guardia Costiera,Vincenzo Olivieri,Centro Studi Cetacei,14.20785,42.49952
CSC130629CTt1,2013-06-29,Calabria,Vibo Valentia,,Tursiops truncatus,9,F,121.0,TOT,Morto,,,ND,Guardia Costiera,Elena Madeo,Centro Studi Cetacei,15.85139,38.6625
CSC130517CGm1,2013-05-17,Calabria,Cosenza,,Globicephala melas,11,F,150.0,TOT,Vivo,,,ND,Privato cittadino,Stefania Giglio,Centro Studi Cetacei,16.08292,39.09427
CSC130410CPm1,2013-04-10,Calabria,Cosenza,,Physeter macrocephalus,7,M,1600.0,TOT,Morto,,,ND,Guardia Costiera,Stefania Giglio,Centro Studi Cetacei,15.87281,39.5556
CSC130330CSc2,2013-03-30,Calabria,Vibo Valentia,,Stenella coeruleoalba,8,F,100.0,TOT,Morto,,,ND,Guardia Costiera,Elena Madeo,Centro Studi Cetacei,15.93063,38.53588
CSC130330CSc1,2013-03-30,Calabria,Vibo Valentia,,Stenella coeruleoalba,8,ND,150.0,TOT,Morto,,,ND,Guardia Costiera,Stefania Giglio,Centro Studi Cetacei,15.93073,38.53644
CSC130328CSc2,2013-03-28,Calabria,Catanzaro,,Stenella coeruleoalba,8,M,146.0,TOT,Morto,,,ND,Guardia Costiera,Elena Madeo,Centro Studi Cetacei,16.21983,38.83764
CSC130328CSc1,2013-03-28,Calabria,Catanzaro,,Stenella coeruleoalba,8,F,175.0,TOT,Morto,,,ND,Guardia Costiera,Stefania Giglio,Centro Studi Cetacei,16.22,38.83763
CSC130325CGg1,2013-03-25,Calabria,Vibo Valentia,,Grampus griseus,4,F,335.0,TOT,Morto,,,ND,Guardia Costiera,Elena Madeo,Centro Studi Cetacei,16.11789,38.71737
CSC130315CSc1,2013-03-15,Calabria,Vibo Valentia,,Stenella coeruleoalba,8,M,208.0,TOT,Morto,,,ND,Guardia Costiera,Stefania Giglio,Centro Studi Cetacei,16.11402,38.71513
CSC130309CSc1,2013-03-09,Calabria,Reggio di Calabria,,Stenella coeruleoalba,8,M,113.0,TOT,Morto,,,ND,Guardia Costiera,Elena Madeo,Centro Studi Cetacei,15.65127,38.23471
CSC130302CSc1,2013-03-02,Lazio,Roma,,Stenella coeruleoalba,8,M,,,Morto,,,ND,Carabinieri,Valerio Manfrini,Centro Studi Cetacei,12.5035,41.58159
CSC130223CSc1,2013-02-23,Calabria,Vibo Valentia,,Stenella coeruleoalba,8,F,163.0,TOT,Morto,,,ND,Guardia Costiera,Stefania Giglio,Centro Studi Cetacei,16.07527,38.71934
CSC130219CSc1,2013-02-19,Lazio,Roma,,Stenella coeruleoalba,8,M,145.0,TOT,Vivo,,,ND,Guardia Costiera,Valerio Manfrini,Centro Studi Cetacei,11.78784,42.09588
CSC130212CSc1,2013-02-12,Calabria,Cosenza,,Stenella coeruleoalba,8,F,162.0,TOT,Morto,,,ND,Guardia Costiera,Lucifora Giuseppe,Istituto Zooprofilattico,15.804,39.74672
CSC130207CSc1,2013-02-07,Calabria,Cosenza,,Stenella coeruleoalba,8,F,196.0,TOT,Morto,,,ND,Guardia Costiera,Elena Madeo,Centro Studi Cetacei,15.91016,39.53343
CSC130130CSc2,2013-01-30,Calabria,Vibo Valentia,,Stenella coeruleoalba,8,F,192.0,TOT,Morto,,,ND,Privato cittadino,Stefania Giglio,Centro Studi Cetacei,15.89165,38.67799
CSC130121CSc1,2013-01-21,Sicilia,Messina,,Stenella coeruleoalba,8,ND,180.0,TOT,Morto,,,ND,Polizia di Stato,Non disponibile,ASL,15.19106,38.33501
CSC130116CSc1,2013-01-16,Calabria,Vibo Valentia,,Stenella coeruleoalba,8,M,191.0,TOT,Morto,,,ND,Guardia Costiera,Lucifora Giuseppe,Istituto Zooprofilattico,15.92626,38.52367
CSC130115CSc1,2013-01-15,Calabria,Vibo Valentia,,Stenella coeruleoalba,8,ND,120.0,TOT,Morto,,,ND,Privato cittadino,Non disponibile,Guardia Costiera,15.93138,38.54312
CSC130107CSc1,2013-01-07,Calabria,Reggio di Calabria,,Stenella coeruleoalba,8,ND,112.0,TOT,Morto,,,ND,Privato cittadino,Dott. Cannizzaro,ASL,15.6458,38.11208
CSC130105CSc2,2013-01-05,Calabria,Cosenza,,Stenella coeruleoalba,8,M,109.0,TOT,Morto,,,ND,Guardia Costiera,Giorgio Kruklidis,ASL,15.92326,38.51679
CSC130101CSc1,2013-01-01,Calabria,Vibo Valentia,,Stenella coeruleoalba,8,ND,165.0,TOT,Morto,,,ND,Polizia di Stato,Giuseppe Paolillo,WWF,16.2016,38.78223
CSC121207CSc1,2012-12-07,Sicilia,Messina,,Stenella coeruleoalba,8,F,200.0,TOT,Morto,,,ND,Privato cittadino,C. Isgrò,Non disponibile,15.23953,38.2366
CSC121101CND1,2012-11-01,Sicilia,Trapani,,Indeterminato,5,ND,200.0,TOT,Morto,,,ND,Privato cittadino,Non disponibile,Guardia Costiera,12.52812,38.03349
CSC121019CTt1,2012-10-19,Abruzzo,Pescara,,Tursiops truncatus,9,F,275.0,TOT,Morto,,,No,Privato cittadino,Vincenzo Olivieri,Centro Studi Cetacei,14.336,42.65767
CSC120926CTt1,2012-09-26,Marche,Fermo,,Tursiops truncatus,9,ND,260.0,TOT,Morto,,,ND,Guardia Costiera,P. De Curtis,ASL,13.74703,43.2866
CSC120915CTt1,2012-09-15,Abruzzo,Pescara,,Tursiops truncatus,9,F,205.0,TOT,Morto,,,No,Privato cittadino,Non disponibile,ASL,14.15369,42.52584
CSC120905CSc1,2012-09-05,Calabria,Reggio di Calabria,,Stenella coeruleoalba,8,ND,185.0,TOT,Morto,,,ND,Privato cittadino,Non disponibile,Corpo Forestale dello Stato,15.80455,38.28956
CSC120816CSc1,2012-08-16,Marche,Ascoli Piceno,,Stenella coeruleoalba,8,ND,200.0,TOT,Morto,,,ND,Privato cittadino,Filipponi,ASL,13.90198,42.96052
CSC120806CTt1,2012-08-06,Abruzzo,Pescara,,Tursiops truncatus,9,ND,100.0,TOT,Morto,,,No,Privato cittadino,M. Saccoccia,ASL,14.24708,42.48069
CSC120727CSc1,2012-07-27,Abruzzo,Chieti,,Stenella coeruleoalba,8,M,210.0,TOT,Morto,,,No,Guardia Costiera,Roberto Valente,ASL,14.54503,42.23461
CSC120712CGg1,2012-07-12,Abruzzo,Teramo,,Grampus griseus,4,F,253.0,TOT,Morto,,,No,Guardia Costiera,Alfredo Di Domenicantonio,ASL,13.94086,42.81332
CSC120612CND1,2012-06-12,Sicilia,Agrigento,,Indeterminato,5,ND,,,Morto,,,ND,Privato cittadino,Non disponibile,Non disponibile,13.44889,37.2923
CSC120611CSc1,2012-06-11,Calabria,Cosenza,,Stenella coeruleoalba,8,M,205.0,TOT,Morto,,,ND,Guardia Costiera,Lucifora Giuseppe,Istituto Zooprofilattico,16.08809,39.07117
